Date,USD/BGN,USD/HUF,USD/EUR
12/12/2019,1.7465,296.429993,0.898
12/13/2019,1.74306,294.390015,0.89397
12/16/2019,1.74935,295.819,0.89892
12/17/2019,1.74591,294.98999,0.89791
12/18/2019,1.744,295.929993,0.89675
12/19/2019,1.7496,297.390015,0.89961
12/20/2019,1.75137,296.859985,0.8988
12/23/2019,1.7556,298.084015,0.90254
12/24/2019,1.7566,298.600006,0.9014
12/25/2019,1.75441,299.200012,0.9017
12/26/2019,1.75603,299.160004,0.90127
12/27/2019,1.755355,298.48999,0.90081
12/30/2019,1.7405,295.713989,0.89427
12/31/2019,1.7359,295.350006,0.892674
1/1/2020,1.73427,295.040009,0.8912
1/2/2020,1.73477,294.799988,0.8912
1/3/2020,1.743342,294.339996,0.89514
1/6/2020,1.7427,295.119995,0.8959
1/7/2020,1.740161,294.529999,0.893017
1/8/2020,1.749129,297.079987,0.89648
1/9/2020,1.753647,297.670013,0.89983
1/10/2020,1.75111,299.26001,0.9
1/13/2020,1.75053,300.109009,0.89955
1/14/2020,1.749425,299.470001,0.89801
1/15/2020,1.7476,298.720001,0.8984
1/16/2020,1.747496,298.440002,0.896539
1/17/2020,1.7461,300.390015,0.8977
1/20/2020,1.7533,302.813995,0.90134
1/21/2020,1.7524,301.440002,0.90115
1/22/2020,1.7548,301.299988,0.90207
1/23/2020,1.7532,302.684998,0.90119
1/24/2020,1.75911,304.529999,0.90455
1/27/2020,1.76385,304.914001,0.907
1/28/2020,1.76443,305.910004,0.90746
1/29/2020,1.7646,306.545013,0.90723
1/30/2020,1.76601,306.440002,0.9077
1/31/2020,1.7626,305.390015,0.90669
2/3/2020,1.7533,303.738007,0.90173
2/4/2020,1.761749,304.720001,0.90392
2/5/2020,1.7608,303.746002,0.9052
2/6/2020,1.7679,306.200012,0.9089
2/7/2020,1.7712,307.540009,0.9105
2/10/2020,1.7767,308.776001,0.9133
2/11/2020,1.785711,309.799988,0.9163
2/12/2020,1.7812,310.079987,0.9158
2/13/2020,1.789,312.325989,0.91946
2/14/2020,1.794,311.005005,0.922
2/17/2020,1.79487,309.544006,0.92236
2/18/2020,1.797798,309.519989,0.9225
2/19/2020,1.801397,310.813995,0.92632
2/20/2020,1.7996,311.570007,0.925061
2/21/2020,1.80373,313.329987,0.926956
2/24/2020,1.7928,310.882996,0.92259
2/25/2020,1.79191,311.640015,0.921727
2/26/2020,1.78771,311.209991,0.918949
2/27/2020,1.78721,311.470001,0.91862
2/28/2020,1.76795,308.269989,0.90932
3/2/2020,1.7636,305.634003,0.90487
3/3/2020,1.7458,302.402008,0.89734
3/4/2020,1.7408,300.334991,0.8944
3/5/2020,1.749457,301.259003,0.89774
3/6/2020,1.7327,299.536011,0.89096
3/9/2020,1.7196,294.709015,0.87827
3/10/2020,1.709698,294.709991,0.87735
3/11/2020,1.725429,295.670013,0.883665
3/12/2020,1.729214,298.79599,0.88798
3/13/2020,1.7387,301.973999,0.89406
3/16/2020,1.760967,303.196014,0.89643
3/17/2020,1.74167,308.045013,0.8958
3/18/2020,1.765,314.875,0.90781
3/19/2020,1.77421,322.380005,0.91228
3/20/2020,1.8242,334.609985,0.93832
3/23/2020,1.81707,327.035004,0.93507
3/24/2020,1.8099,325.656006,0.92897
3/25/2020,1.802163,327.93399,0.9257
3/26/2020,1.7875,323.208008,0.91831
3/27/2020,1.7618,321.210999,0.90512
3/30/2020,1.751191,320.480011,0.89774
3/31/2020,1.763736,325.059998,0.90658
4/1/2020,1.766915,327.049011,0.9069
4/2/2020,1.777859,331.76001,0.91294
4/3/2020,1.7925,335.079987,0.92188
4/6/2020,1.79891,338.26001,0.92533
4/7/2020,1.803,336.779999,0.9256
4/8/2020,1.7856,328.950012,0.91784
4/9/2020,1.79319,330.049988,0.9205
4/10/2020,1.7791,323.220001,0.91513
4/13/2020,1.78061,322.548004,0.91469
4/14/2020,1.77977,323.51001,0.9155
4/15/2020,1.77077,320.029999,0.9103
4/16/2020,1.785865,322.346985,0.917002
4/17/2020,1.7911,323.459991,0.92094
4/20/2020,1.793475,324.720001,0.92022
4/21/2020,1.792812,324.075989,0.9204
4/22/2020,1.79205,326.019989,0.92111
4/23/2020,1.79735,330.230011,0.9251
4/24/2020,1.8044,331.619995,0.9279
4/27/2020,1.799981,328.959991,0.9239
4/28/2020,1.7965,327.950012,0.9238
4/29/2020,1.7966,329.660004,0.9228
4/30/2020,1.7887,325.769989,0.91935
5/1/2020,1.776604,321.950012,0.91362
5/4/2020,1.77789,322.559998,0.91244
5/5/2020,1.78341,324.359985,0.91707
5/6/2020,1.79401,323.033997,0.92263
5/7/2020,1.80097,324.600006,0.92605
5/8/2020,1.79231,323.35199,0.92275
5/11/2020,1.79631,322.049988,0.92255
5/12/2020,1.79937,323.627014,0.92512
5/13/2020,1.79755,323.829987,0.92193
5/14/2020,1.80072,326.980011,0.9239
5/15/2020,1.8001,327.600006,0.92533
5/18/2020,1.7986,327.709991,0.9241
5/19/2020,1.783549,323.061005,0.91616
5/20/2020,1.7805,320.084991,0.9151
5/21/2020,1.774564,318.48999,0.9105
5/22/2020,1.77631,317.920013,0.913
5/25/2020,1.789406,320.73999,0.916775
5/26/2020,1.787386,321.869995,0.917179
5/27/2020,1.77131,316.890015,0.9106
5/28/2020,1.76617,316.135986,0.9077
5/29/2020,1.757574,315.519989,0.9026
